"Region_name";"ISO3.code"
"Central and South America";"ABW"
"Asia Pacific";"AFG"
"Africa";"AGO"
"Europe";"ALB"
"Middle East";"ARE"
"Central and South America";"ARG"
"Asia Pacific";"ATA"
"Central and South America";"ATG"
"Asia Pacific";"AUS"
"Europe";"AUT"
"Africa";"BDI"
"Europe";"BEL"
"Africa";"BEN"
"Africa";"BFA"
"Asia Pacific";"BGD"
"Europe";"BGR"
"Middle East";"BHR"
"Central and South America";"BHS"
"Europe";"BIH"
"Central and South America";"BLM"
"Central and South America";"BLZ"
"Central and South America";"BOL"
"Central and South America";"BRA"
"Central and South America";"BRB"
"Asia Pacific";"BRN"
"Asia Pacific";"BTN"
"Africa";"BWA"
"Africa";"CAF"
"Asia Pacific";"CCK"
"Europe";"CHE"
"Central and South America";"CHL"
"Asia Pacific";"CHN"
"Africa";"CIV"
"Africa";"CMR"
"Africa";"COD"
"Africa";"COG"
"Asia Pacific";"COK"
"Central and South America";"COL"
"Africa";"COM"
"Africa";"CPV"
"Central and South America";"CRI"
"Central and South America";"CUB"
"Asia Pacific";"CXR"
"Central and South America";"CYM"
"Europe";"CYP"
"Europe";"CZE"
"Europe";"DEU"
"Africa";"DJI"
"Central and South America";"DMA"
"Europe";"DNK"
"Central and South America";"DOM"
"Africa";"DZA"
"Central and South America";"ECU"
"Africa";"EGY"
"Africa";"ERI"
"Europe";"ESP"
"Europe";"EST"
"Africa";"ETH"
"Europe";"FIN"
"Asia Pacific";"FJI"
"Europe";"FRA"
"Asia Pacific";"FSM"
"Africa";"GAB"
"Europe";"GBR"
"Europe";"GEO"
"Africa";"GHA"
"Europe";"GIB"
"Africa";"GIN"
"Central and South America";"GLP"
"Africa";"GMB"
"Africa";"GNB"
"Africa";"GNQ"
"Europe";"GRC"
"Central and South America";"GRD"
"Central and South America";"GTM"
"Central and South America";"GUF"
"Central and South America";"GUY"
"Asia Pacific";"HKG"
"Asia Pacific";"HMD"
"Central and South America";"HND"
"Europe";"HRV"
"Central and South America";"HTI"
"Europe";"HUN"
"Asia Pacific";"IDN"
"Asia Pacific";"IND"
"Europe";"IRL"
"Middle East";"IRN"
"Middle East";"IRQ"
"Europe";"ISL"
"Middle East";"ISR"
"Europe";"ITA"
"Central and South America";"JAM"
"Middle East";"JOR"
"Asia Pacific";"JPN"
"Africa";"KEN"
"Asia Pacific";"KHM"
"Asia Pacific";"KIR"
"Central and South America";"KNA"
"Asia Pacific";"KOR"
"Middle East";"KWT"
"Asia Pacific";"LAO"
"Middle East";"LBN"
"Africa";"LBR"
"Africa";"LBY"
"Central and South America";"LCA"
"Asia Pacific";"LKA"
"Africa";"LSO"
"Europe";"LTU"
"Europe";"LUX"
"Europe";"LVA"
"Asia Pacific";"MAC"
"Africa";"MAR"
"Africa";"MDG"
"Asia Pacific";"MDV"
"Asia Pacific";"MHL"
"Europe";"MKD"
"Africa";"MLI"
"Europe";"MLT"
"Asia Pacific";"MMR"
"Europe";"MNE"
"Asia Pacific";"MNG"
"Africa";"MOZ"
"Africa";"MRT"
"Central and South America";"MTQ"
"Africa";"MUS"
"Africa";"MWI"
"Asia Pacific";"MYS"
"Africa";"NAM"
"Africa";"NER"
"Asia Pacific";"NFK"
"Africa";"NGA"
"Central and South America";"NIC"
"Asia Pacific";"NIU"
"Europe";"NLD"
"Europe";"NOR"
"Asia Pacific";"NPL"
"Asia Pacific";"NRU"
"Asia Pacific";"NZL"
"Middle East";"OMN"
"Asia Pacific";"PAK"
"Central and South America";"PAN"
"Central and South America";"PER"
"Asia Pacific";"PHL"
"Asia Pacific";"PLW"
"Asia Pacific";"PNG"
"Europe";"POL"
"Central and South America";"PRI"
"Asia Pacific";"PRK"
"Europe";"PRT"
"Central and South America";"PRY"
"Asia Pacific";"PSE"
"Middle East";"QAT"
"Europe";"ROU"
"Africa";"RWA"
"Middle East";"SAU"
"Africa";"SDN"
"Africa";"SEN"
"Asia Pacific";"SGP"
"Asia Pacific";"SLB"
"Africa";"SLE"
"Central and South America";"SLV"
"Africa";"SOM"
"Europe";"SRB"
"Africa";"STP"
"Europe";"SUN"
"Central and South America";"SUR"
"Europe";"SVK"
"Europe";"SVN"
"Europe";"SWE"
"Africa";"SWZ"
"Africa";"SYC"
"Middle East";"SYR"
"Central and South America";"TCA"
"Africa";"TCD"
"Africa";"TGO"
"Asia Pacific";"THA"
"Asia Pacific";"TKL"
"Asia Pacific";"TLS"
"Asia Pacific";"TON"
"Central and South America";"TTO"
"Africa";"TUN"
"Europe";"TUR"
"Asia Pacific";"TUV"
"Asia Pacific";"TWN"
"Africa";"TZA"
"Africa";"UGA"
"Central and South America";"URY"
"Central and South America";"VCT"
"Central and South America";"VEN"
"Central and South America";"VGB"
"Asia Pacific";"VNM"
"Asia Pacific";"VUT"
"Asia Pacific";"WSM"
"Asia Pacific";"YEM"
"Africa";"ZAF"
"Africa";"ZMB"
"Africa";"ZWE"
"North America";"USA"
"North America";"CAN"
"North America";"MEX"
"Eurasia";"RUS"
"Eurasia";"ARM"
"Eurasia";"MDA"
"Eurasia";"AZE"
"Eurasia";"TJK"
"Eurasia";"BLR"
"Eurasia";"KAZ"
"Eurasia";"TKM"
"Eurasia";"UKR"
"Eurasia";"KGZ"
"Eurasia";"UZB"
