"IEA";"variable";"unit"
"Total|Total Billion USD (2023, MER)";;
"Total|of which: Clean energy";;
"Fuels|Fuels";;
"Fuels|Fossil fuels";;
"Fuels|Oil";;
"Fuels|Gas";;
"Fuels|Coal";;
"Fuels|Clean Fuels";;
"Electricity|Power";"Investment|Energy Supply|Electricity";"billion US$2017/yr"
"Electricity|Generation";"Investment|Energy Supply|Electricity|Generation";"billion US$2017/yr"
"Electricity|Coal";"Investment|Energy Supply|Electricity|Coal";"billion US$2017/yr"
"Electricity|Oil and natural gas";"Investment|Energy Supply|Electricity|Gas";"billion US$2017/yr"
"Electricity|Nuclear";"Investment|Energy Supply|Electricity|Nuclear";"billion US$2017/yr"
"Electricity|Renewables";"Investment|Energy Supply|Electricity|Renewables";"billion US$2017/yr"
"Electricity|Fossil fuels: with CCUS";"Investment|Energy Supply|Electricity|Fossil|w/o CCS";"billion US$2017/yr"
"Electricity|Storage";"Investment|Energy Supply|Electricity|Storage";"billion US$2017/yr"
"Electricity|Electricity networks";"Investment|Energy Supply|Electricity|Transmission and Distribution ";"billion US$2017/yr"
"End-Use|End-use";;
"End-Use|Energy efficiency";;
"End-Use|Other end-use";;
"End-Use|Other end-use renewables";;
"Other|Memo: Oil & gas upstream";;
"Other|Memo: Transitional fossil fuels";;
