FAO_live_weigth,FAO_carcass,MAgPIE,Price_factor
"973|Meat live weight, buffalo","947|Meat, buffalo",livst_rum,0.5937625
"945|Meat live weight, cattle","867|Meat, cattle",livst_rum,0.5323081
"1013|Meat live weight, sheep","977|Meat, sheep",livst_rum,0.5035164
"1095|Meat live weight, chicken","1058|Meat, chicken",livst_chick,0.720224
"1071|Meat live weight, duck","1069|Meat, duck",livst_chick,0.7809208
"1033|Meat live weight, goat","1017|Meat, goat",livst_rum,0.5255308
"1078|Meat live weight, goose","1073|Meat, goose and guinea fowl",livst_chick,0.7749782
"1121|Meat live weight, horse","1097|Meat, horse",livst_rum,0.5116796
"1056|Meat live weight, pig","1035|Meat, pig",livst_pig,0.7129732
"1145|Meat live weight, rabbit","1141|Meat, rabbit",livst_rum,0.5581514
"1088|Meat live weight, turkey","1080|Meat, turkey",livst_chick,0.7855886
"1138|Meat live weight, camel","1127|Meat, camel",livst_rum,0.543236
"1085|Meat live weight, poultry, other","1089|Meat, bird nes",livst_chick,0.658163
"1123|Meat live weight, ass","1108|Meat, ass",livst_rum,0.5116796
"1162|Meat live weight, camelids, other","1158|Meat, other camelids",livst_rum,0.4520733
"1125|Meat live weight, mule","1111|Meat, mule",livst_rum,0.5116796
