CEDS59,CEDS16
3B_Manure-management,Agriculture
3D_Rice-Cultivation,Agriculture
3D_Soil-emissions,Agriculture
3E_Enteric-fermentation,Agriculture
3F_Agricultural-residue-burning-on-fields,Agriculture
3I_Agriculture-other,Agriculture
1A3ai_International-aviation,Aircraft
1A3aii_Domestic-aviation,Aircraft
1A1a_Electricity-autoproducer,Electricity and Heat Production
1A1a_Electricity-public,Electricity and Heat Production
1A1a_Heat-production,Electricity and Heat Production
7A_Fossil-fuel-fires,Fossil Fuel Fires
1A1bc_Other-transformation,Fuel Production and Transformation
1A2a_Ind-Comb-Iron-steel,Industrial Combustion
1A2b_Ind-Comb-Non-ferrous-metals,Industrial Combustion
1A2c_Ind-Comb-Chemicals,Industrial Combustion
1A2d_Ind-Comb-Pulp-paper,Industrial Combustion
1A2e_Ind-Comb-Food-tobacco,Industrial Combustion
1A2f_Ind-Comb-Non-metalic-minerals,Industrial Combustion
1A2g_Ind-Comb-Construction,Industrial Combustion
1A2g_Ind-Comb-machinery,Industrial Combustion
1A2g_Ind-Comb-mining-quarying,Industrial Combustion
1A2g_Ind-Comb-other,Industrial Combustion
1A2g_Ind-Comb-textile-leather,Industrial Combustion
1A2g_Ind-Comb-transpequip,Industrial Combustion
1A2g_Ind-Comb-wood-products,Industrial Combustion
1A5_Other-unspecified,Industrial Combustion
2A1_Cement-production,Industrial Process and Product Use
2A2_Lime-production,Industrial Process and Product Use
2A6_Other-minerals,Industrial Process and Product Use
2B_Chemical-industry,Industrial Process and Product Use
2C_Metal-production,Industrial Process and Product Use
2H_Pulp-and-paper-food-beverage-wood,Industrial Process and Product Use
2L_Other-process-emissions,Industrial Process and Product Use
6A_Other-in-total,Industrial Process and Product Use
1A3di_International-shipping,International Shipping
1A3c_Rail,Non-Road Transportation
1A3dii_Domestic-navigation,Non-Road Transportation
1A3eii_Other-transp,Non-Road Transportation
1B2_Fugitive-petr-and-gas,Oil and Gas Fugitive/Flaring
1B2d_Fugitive-other-energy,Fuel Production and Transformation
1B1_Fugitive-solid-fuels,Fuel Production and Transformation
1A4c_Agriculture-forestry-fishing,Residential Commercial Other - Other
1A4a_Commercial-institutional,Residential Commercial Other - Residential Commercial
1A4b_Residential,Residential Commercial Other - Residential Commercial
1A3b_Road,Road Transportation
2D_Degreasing-Cleaning,Solvents Production and Application
2D_Paint-application,Solvents Production and Application
2D3_Chemical-products-manufacture-processing,Solvents Production and Application
2D3_Other-product-use,Solvents Production and Application
5A_Solid-waste-disposal,Waste
5C_Waste-incineration,Waste
5D_Wastewater-handling,Waste
5E_Other-waste-handling,Waste
BORF,Forest Burning
AGRI,Agriculture
DEFO,Forest Burning
SAVA,Grassland Burning
TEMF,Forest Burning
PEAT,Forest Burning
